FeatureType,date,IMONum,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
CollisionAndContact,20201203,포인트호,0,0,0,어선 포인트호 부유물감김사건,33.6433,126.2869,collisionAndContactType,floating object entanglement,126.2869 33.6433
HullAndEngineAccessoryDamage,20201201,일진호,0,0,0,어선 일진호 기관손상사건,33.6,126.7333,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.7333 33.6
HullAndEngineAccessoryDamage,20201229,블루마린호,0,0,0,어선 블루마린호 기관손상사건,33.5833,126.1167,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.1167 33.5833
HullAndEngineAccessoryDamage,20201210,용이호,0,0,0,모터보트 용이호 기관손상사건,33.5167,126.4333,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4333 33.5167
HullAndEngineAccessoryDamage,20201226,친선호,0,0,0,어선 친선호 기관손상사건,33.85,126.5833,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.5833 33.85
HullAndEngineAccessoryDamage,20201228,제66함성호,0,0,0,어선 제66함성호 조타장치손상사건,33.225,126.5828,hullAndEngineAccessoryDamageType,rudder damage,126.5828 33.225
HullAndEngineAccessoryDamage,20201228,유리호,0,0,0,모터보트 유리호 기관손상사건,33.1694,126.2572,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.2572 33.1694
HullAndEngineAccessoryDamage,20201218,선진호,0,0,0,어선 선진호 기관손상사건,33.1667,126.25,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.25 33.1667
NavigationalIssues,20201215,부영호,0,0,0,어선 부영호 운항저해사건,34.8144,126.3294,navigationalIssuesType,sailing hinderance,126.3294 34.8144
HullAndEngineAccessoryDamage,20201216,삼성호,0,0,0,어선 삼성호 기관손상사건,33.2567,126.7053,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.7053 33.2567
HullAndEngineAccessoryDamage,20201212,금영호,0,0,0,어선 금영호 기관손상사건,33.4167,127.1333,hullAndEngineAccessoryDamageType,machineries and propulsion damage,127.1333 33.4167
CollisionAndContact,20201230,금영레드포스,0,0,0,일반화물선 금영레드포스 부두접촉사건,34.7733,126.395,collisionAndContactType,contact,126.395 34.7733
FloodingAndSinking,20201203,대성아일랜드,0,0,0,모터보트 대성아일랜드호 침수사건,33.5264,126.5658,floodingAndSinkingType,flooding,126.5658 33.5264
NavigationalIssues,20201230,207신영호,0,0,0,모터보트 207신영호 운항저해사건,33.5264,126.5656,navigationalIssuesType,sailing hinderance,126.5656 33.5264
HullAndEngineAccessoryDamage,20201229,제201청해호,0,0,0,어선 제201청해호 양식장손상사건,34.1844,126.8217,hullAndEngineAccessoryDamageType,other facility damage,126.8217 34.1844
CollisionAndContact,20201228,동해호,0,0,0,어선 성안호/모터보트 동해호 충돌사건,33.2253,126.6053,collisionAndContactType,collision,126.6053 33.2253
CollisionAndContact,20201228,성안호,0,0,0,어선 성안호/모터보트 동해호 충돌사건,33.2253,126.6053,collisionAndContactType,collision,126.6053 33.2253
HullAndEngineAccessoryDamage,20201228,제주엠제이호,0,0,0,낚시어선 제주엠제이호 기관손상사건,33.6014,126.1325,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.1325 33.6014
NavigationalIssues,20201229,지원3호,0,0,0,예인선 지원3호 운항저해사건,34.9967,126.0128,navigationalIssuesType,sailing hinderance,126.0128 34.9967
FloodingAndSinking,20201229,제32명민호,0,7,0,어선 제32명민호 전복사건,33.5469,126.5281,floodingAndSinkingType,capsizing,126.5281 33.5469
CollisionAndContact,20201228,덕용호,0,0,0,어선 덕용호 부유물감김사건,33.5333,126.5333,collisionAndContactType,floating object entanglement,126.5333 33.5333
HullAndEngineAccessoryDamage,20201226,아루타니스호,0,0,0,모터보트 아루타니스호 기관손상사건,34.4031,126.6631,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.6631 34.4031
CollisionAndContact,20201226,선영호,0,0,0,어선 선영호 부유물감기사건,33.5375,126.8575,collisionAndContactType,floating object entanglement,126.8575 33.5375
CollisionAndContact,20201226,윤희호,0,0,0,낚시어선 윤희호 부유물감김사건,34.6517,127.7106,collisionAndContactType,floating object entanglement,127.7106 34.6517
FloodingAndSinking,20201225,버블호,0,0,0,어선 버블호 침수사건,33.4708,126.9289,floodingAndSinkingType,flooding,126.9289 33.4708
CollisionAndContact,20201224,덕산202호,0,0,0,예인선 덕산202호 양식장손상사건,34.8139,126.1739,collisionAndContactType,contact,126.1739 34.8139
CollisionAndContact,20201224,제601평진호,0,0,0,어선 제206금성호/어선 제601평진호 충돌사건,33.4803,126.9592,collisionAndContactType,collision,126.9592 33.4803
CollisionAndContact,20201224,제206금성호,0,0,0,어선 제206금성호/어선 제601평진호 충돌사건,33.4803,126.9592,collisionAndContactType,collision,126.9592 33.4803
NavigationalIssues,20201223,이호1820호,0,0,0,모터보트 이호1820호 운항저해사건,33.4706,126.3447,navigationalIssuesType,sailing hinderance,126.3447 33.4706
HullAndEngineAccessoryDamage,20201223,썬스타호,0,0,0,모터보트 썬스타호 기관손상사건,33.92,126.9094,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.9094 33.92
CollisionAndContact,20201223,삼흥호,0,0,0,어선 제201해금호/어선 삼흥호 충돌사건,33.5833,126.8,collisionAndContactType,collision,126.8 33.5833
CollisionAndContact,20201223,201해금호,0,0,0,어선 제201해금호/어선 삼흥호 충돌사건,33.5833,126.8,collisionAndContactType,collision,126.8 33.5833
OtherIncident,20201222,금호스타호,0,0,0,예인선 금호스타호 해양오염사건,35.15,126.3667,otherIncidentType,other incident,126.3667 35.15
CollisionAndContact,20201222,해성피싱호,0,0,0,낚시어선 해성피싱호 부유물감김사건,33.7833,126.6167,collisionAndContactType,floating object entanglement,126.6167 33.7833
CollisionAndContact,20201222,77성진호,0,0,0,어선 제77성진호 부유물감김사건,33.7833,126.7333,collisionAndContactType,floating object entanglement,126.7333 33.7833
HullAndEngineAccessoryDamage,20201221,성공호,0,0,0,어선 성공호 기관손상사건,34.4481,127.0911,hullAndEngineAccessoryDamageType,machineries and propulsion damage,127.0911 34.4481
CollisionAndContact,20201222,해인호,0,0,0,낚시어선 케이디호/어선 해인호 충돌사건,34.05,127.2931,collisionAndContactType,collision,127.2931 34.05
CollisionAndContact,20201222,케이디호,0,0,0,낚시어선 케이디호/어선 해인호 충돌사건,34.05,127.2931,collisionAndContactType,collision,127.2931 34.05
OtherIncident,20201222,선명미상,1,0,0,선원미상 어선 선원사망사건,34.2944,126.0,otherIncidentType,safety hinderance and near misses,126.0 34.2944
FloodingAndSinking,20201222,신성호,0,0,0,모터보트 신성호 침수사건,34.7442,127.6719,floodingAndSinkingType,flooding,127.6719 34.7442
HullAndEngineAccessoryDamage,20201216,제2008이화호,0,0,0,어선 제2008이화호 기관손상사건,34.6806,126.2175,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.2175 34.6806
FloodingAndSinking,20201215,성용607호,0,0,0,기타선 성용607호 침수사건,34.7242,127.7167,floodingAndSinkingType,flooding,127.7167 34.7242
FireAndExplosion,20201215,선명미상 부선,0,0,0,선명미상 부선외1척 화재사건,34.8758,127.6178,fireAndExplosionType,fire,127.6178 34.8758
CollisionAndContact,20201215,903청룡호,0,0,0,일반화물선 삼진선우호/어선 903청룡호 충돌사건,34.3181,126.765,collisionAndContactType,collision,126.765 34.3181
CollisionAndContact,20201215,삼진선우호,0,0,0,일반화물선 삼진선우호/어선 903청룡호 충돌사건,34.3181,126.765,collisionAndContactType,collision,126.765 34.3181
FloodingAndSinking,20201215,한빛호,0,0,0,어선 한빛호 침수사건,33.5472,126.6611,floodingAndSinkingType,flooding,126.6611 33.5472
FloodingAndSinking,20201215,감성호,0,0,0,모터보트 감성호  침몰사건,34.5792,127.7369,floodingAndSinkingType,sinking,127.7369 34.5792
HullAndEngineAccessoryDamage,20201220,서진호,0,0,0,예인선 서진호 기관손상사건,34.6833,126.25,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.25 34.6833
CollisionAndContact,20201219,105매일호,0,0,0,어선 105매일호 부유물감김사건,33.0667,127.5,collisionAndContactType,floating object entanglement,127.5 33.0667
FloodingAndSinking,20201219,뭉치호,0,0,0,모터보트 뭉치호 침수사건,34.4642,127.4489,floodingAndSinkingType,flooding,127.4489 34.4642
CollisionAndContact,20201219,제808우정호,0,0,0,어선 제808우정호 부유물감김사건,33.4333,127.0333,collisionAndContactType,floating object entanglement,127.0333 33.4333
HullAndEngineAccessoryDamage,20201218,303고려호,0,0,0,예인선 303고려호 조타장치손상사건,34.45,126.0667,hullAndEngineAccessoryDamageType,rudder damage,126.0667 34.45
HullAndEngineAccessoryDamage,20201218,골드비너스호,0,0,0,낚시어선 골드비너스호 추진축계손상사건,33.9167,127.0833,hullAndEngineAccessoryDamageType,machineries and propulsion damage,127.0833 33.9167
CollisionAndContact,20201217,해룡호,0,0,0,어선 해룡호 부유물감김사건,33.0833,127.5833,collisionAndContactType,floating object entanglement,127.5833 33.0833
HullAndEngineAccessoryDamage,20201216,제102영선호,0,0,0,어선 제102영선호 기관손상사건,32.9833,126.7167,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.7167 32.9833
FloodingAndSinking,20201215,신영호,0,0,0,모터보트 신영호 침몰사건,34.5792,127.7369,floodingAndSinkingType,sinking,127.7369 34.5792
CollisionAndContact,20201217,다미호,0,0,0,어선 순심호/어선 다미호 충돌사건,33.6742,126.2975,collisionAndContactType,collision,126.2975 33.6742
CollisionAndContact,20201217,순심호,0,0,1,어선 순심호/어선 다미호 충돌사건,33.6742,126.2975,collisionAndContactType,collision,126.2975 33.6742
HullAndEngineAccessoryDamage,20201217,세림호,0,0,0,어선 세림호 기관손상사건,34.8167,126.3167,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.3167 34.8167
CollisionAndContact,20201215,101우일호,0,0,0,일반화물선 동아2호/어선 101우일호 충돌사건,33.8333,127.0,collisionAndContactType,collision,127.0 33.8333
CollisionAndContact,20201215,동아2호,0,0,0,일반화물선 동아2호/어선 101우일호 충돌사건,33.8333,127.0,collisionAndContactType,collision,127.0 33.8333
FloodingAndSinking,20201214,해무호,0,0,0,모터보트 해무호 침수사건,34.7358,127.6731,floodingAndSinkingType,flooding,127.6731 34.7358
FloodingAndSinking,20201213,베드로2호,0,0,0,어선 베드로2호 침수사건,34.6317,127.1775,floodingAndSinkingType,flooding,127.1775 34.6317
CollisionAndContact,20201213,진명2호,0,0,4,낚시어선 추자피싱2호/모터보트 진명2호 충돌사건,33.9392,126.3061,collisionAndContactType,collision,126.3061 33.9392
CollisionAndContact,20201213,추자피싱2호,0,0,0,낚시어선 추자피싱2호/모터보트 진명2호 충돌사건,33.9392,126.3061,collisionAndContactType,collision,126.3061 33.9392
NavigationalIssues,20201214,2대복호,0,0,0,모래채취운반선 2대복호 운항저해사건,34.7139,126.3564,navigationalIssuesType,sailing hinderance,126.3564 34.7139
NavigationalIssues,20201213,카콜,0,0,0,세일링요트 카콜 운항저해사건,34.7347,127.7414,navigationalIssuesType,sailing hinderance,127.7414 34.7347
CollisionAndContact,20201213,아가미호,0,0,0,낚시어선 아가미호 부유물감김사건,34.5697,127.7069,collisionAndContactType,floating object entanglement,127.7069 34.5697
CollisionAndContact,20201213,드래곤호,0,0,0,모터보트 드래곤호 부유물감김사건,33.5667,126.6833,collisionAndContactType,floating object entanglement,126.6833 33.5667
NavigationalIssues,20201213,선명호,0,0,0,어선 선명호 운항저해사건,34.5133,127.1667,navigationalIssuesType,sailing hinderance,127.1667 34.5133
HullAndEngineAccessoryDamage,20201212,신광호,0,0,0,어선 신광호 추진축계손상사건,34.5833,126.2667,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.2667 34.5833
CollisionAndContact,20201212,제909민성호,0,0,0,어선 제708우리호/어선 제909민성호 충돌사건,33.4667,127.05,collisionAndContactType,collision,127.05 33.4667
CollisionAndContact,20201212,제708우리호,0,0,1,어선 제708우리호/어선 제909민성호 충돌사건,33.4667,127.05,collisionAndContactType,collision,127.05 33.4667
HullAndEngineAccessoryDamage,20201212,재순호,0,0,0,낚시어선 재순호 기관손상사건,34.3708,126.9917,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.9917 34.3708
HullAndEngineAccessoryDamage,20201212,무등록선박,0,0,0,무등록선 기관손상사건,34.7678,127.55,hullAndEngineAccessoryDamageType,machineries and propulsion damage,127.55 34.7678
HullAndEngineAccessoryDamage,20201211,모모호,0,0,0,모터보트 모모호 기관손상사건,34.8,126.3333,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.3333 34.8
CollisionAndContact,20201211,희진호,0,0,0,예인선 희진호 부유물감김사건,34.5583,126.3344,collisionAndContactType,floating object entanglement,126.3344 34.5583
HullAndEngineAccessoryDamage,20201211,모이라호,0,0,0,모터보트 모이라호 기관손상사건,33.6167,126.4,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4 33.6167
StrandingAndGrounding,20201209,기흥호,0,0,1,어선 기흥호 좌초사건,34.5936,127.6053,strandingAndGroundingType,grounding,127.6053 34.5936
CollisionAndContact,20201210,일광호,0,0,0,어선 일광호 부유물감김사건,32.7667,125.9333,collisionAndContactType,floating object entanglement,125.9333 32.7667
FloodingAndSinking,20201208,진복호,1,0,1,무등록선 진복호 침몰사건,34.3244,127.35,floodingAndSinkingType,sinking,127.35 34.3244
HullAndEngineAccessoryDamage,20201208,재창호,0,0,0,어선 재창호 기관손상사건,33.9542,126.3039,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.3039 33.9542
HullAndEngineAccessoryDamage,20201208,505공진호,0,0,0,어선 505공진호 기관손상사건,33.6178,126.9536,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.9536 33.6178
CollisionAndContact,20201208,서진호,0,0,0,어선 207우진호/모터보트 서진호 충돌사건,33.4864,126.9686,collisionAndContactType,collision,126.9686 33.4864
CollisionAndContact,20201208,207우진호,0,0,0,어선 207우진호/모터보트 서진호 충돌사건,33.4864,126.9686,collisionAndContactType,collision,126.9686 33.4864
HullAndEngineAccessoryDamage,20201208,205만길호,0,0,0,어선 205만길호 기관손상사건,34.7733,125.7833,hullAndEngineAccessoryDamageType,machineries and propulsion damage,125.7833 34.7733
HullAndEngineAccessoryDamage,20201206,제626금복호,0,0,0,어선 제626금복호 추진축계손상사건,32.4,127.3833,hullAndEngineAccessoryDamageType,machineries and propulsion damage,127.3833 32.4
OtherIncident,20201204,해금호,0,1,0,어선 해금호 선원실종사건,34.1592,126.8164,otherIncidentType,safety hinderance and near misses,126.8164 34.1592
CollisionAndContact,20201206,제2006영풍호,0,0,0,어선 제2006영풍호 부유물감김사건,33.3833,127.4833,collisionAndContactType,floating object entanglement,127.4833 33.3833
HullAndEngineAccessoryDamage,20201206,빅토리호,0,0,0,어선 빅토리호 기관손상사건,34.3928,127.4606,hullAndEngineAccessoryDamageType,machineries and propulsion damage,127.4606 34.3928
CollisionAndContact,20201205,2005풍경호,0,0,0,어선 2005풍경호 부유물감김사건,32.4167,127.2667,collisionAndContactType,floating object entanglement,127.2667 32.4167
StrandingAndGrounding,20201206,제3006신광호,0,0,0,어선 제3006신광호 좌초사건,34.6861,127.6994,strandingAndGroundingType,grounding,127.6994 34.6861
HullAndEngineAccessoryDamage,20201205,하이베어호,0,0,0,모터보트 하이베어호 추진축계손상사건,34.2428,126.7517,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.7517 34.2428
FireAndExplosion,20201205,하나2호,0,0,0,어선 하나2호 화재사건,34.5231,127.2033,fireAndExplosionType,fire,127.2033 34.5231
HullAndEngineAccessoryDamage,20201203,호산나호,0,0,0,어선 호산나호 추진축계손상사건,34.5589,127.6836,hullAndEngineAccessoryDamageType,machineries and propulsion damage,127.6836 34.5589
FloodingAndSinking,20201203,제3삼영호,0,0,0,어선 제3삼영호 침수사건,33.9603,126.2983,floodingAndSinkingType,flooding,126.2983 33.9603
HullAndEngineAccessoryDamage,20201206,이어도호,0,0,0,낚시어선 이어도호 기관손상사건,33.4839,126.9353,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.9353 33.4839
NavigationalIssues,20201202,조코호,0,0,0,모터보트 조코호 운항저해사건,34.6086,127.6503,navigationalIssuesType,sailing hinderance,127.6503 34.6086
HullAndEngineAccessoryDamage,20201202,금성호,0,0,0,어선 금성호 조타장치손상사건,33.5667,126.6,hullAndEngineAccessoryDamageType,rudder damage,126.6 33.5667
CollisionAndContact,20201202,남해호,0,0,0,어선 남해호 부유물감김사건,33.5,126.2333,collisionAndContactType,floating object entanglement,126.2333 33.5
HullAndEngineAccessoryDamage,20201202,경주호,0,0,0,어선 경주호 기관손상사건,33.5806,126.6956,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.6956 33.5806
CollisionAndContact,20201201,제37부경호,0,0,0,어선 제37부경호 부유물감김사건,33.8667,124.6833,collisionAndContactType,floating object entanglement,124.6833 33.8667
StrandingAndGrounding,20201201,오성3호,0,0,0,일반화물선 오성3호 좌초사건,34.9428,127.7692,strandingAndGroundingType,grounding,127.7692 34.9428
CollisionAndContact,20201130,제1대승호,0,0,0,어선 제1대승호 부유물감김사건,34.7667,125.8333,collisionAndContactType,floating object entanglement,125.8333 34.7667
FireAndExplosion,20201129,금성호,0,0,0,어선 금성호 화재사건,33.2244,127.5267,fireAndExplosionType,fire,127.5267 33.2244
FloodingAndSinking,20201129,세찬호,0,0,0,어선 세찬호 전복사건,34.4542,127.4567,floodingAndSinkingType,capsizing,127.4567 34.4542
CollisionAndContact,20201129,원양호,0,0,2,어선 태평호/어선 원양호 충돌사건,34.5269,127.1231,collisionAndContactType,collision,127.1231 34.5269
CollisionAndContact,20201129,태평호,0,0,0,어선 태평호/어선 원양호 충돌사건,34.5269,127.1231,collisionAndContactType,collision,127.1231 34.5269
NavigationalIssues,20201128,대광호,0,0,0,어선 대광호 운항저해사건,34.5933,127.1606,navigationalIssuesType,sailing hinderance,127.1606 34.5933
CollisionAndContact,20201128,선경2호,0,0,0,"어선 성해호, 어선 제2012강인호 등 2척 충돌사건",34.3658,126.1353,collisionAndContactType,collision,126.1353 34.3658
CollisionAndContact,20201128,제2012강인호,0,0,0,"어선 성해호, 어선 제2012강인호 등 2척 충돌사건",34.3658,126.1353,collisionAndContactType,collision,126.1353 34.3658
CollisionAndContact,20201128,성해호,0,0,0,"어선 성해호, 어선 제2012강인호 등 2척 충돌사건",34.3658,126.1353,collisionAndContactType,collision,126.1353 34.3658
NavigationalIssues,20201127,은수호,0,0,0,어선 은수호 운항저해사건,34.3,126.5833,navigationalIssuesType,sailing hinderance,126.5833 34.3
OtherIncident,20201016,제207대양호,0,0,0,어선 제207대양호 해양오염사건,34.3183,126.7647,otherIncidentType,other incident,126.7647 34.3183
OtherIncident,20200813,제89보광호,0,0,0,어선 제89보광호 해양오염사건,34.7294,127.7278,otherIncidentType,other incident,127.7278 34.7294
CollisionAndContact,20201126,709대길호,0,0,0,어선 709대길호 부유물감김사건,34.9,125.05,collisionAndContactType,floating object entanglement,125.05 34.9
HullAndEngineAccessoryDamage,20201126,제니스1호,0,0,0,모터보트 제니스1호 기관손상사건,33.1603,126.2783,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.2783 33.1603
HullAndEngineAccessoryDamage,20201126,아리랑호,0,0,0,어선 아리랑호 기관손상사건,34.2,125.85,hullAndEngineAccessoryDamageType,machineries and propulsion damage,125.85 34.2
HullAndEngineAccessoryDamage,20201125,샤크호,0,0,0,모터보트 샤크호 기관손상사건,33.2439,126.6208,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.6208 33.2439
HullAndEngineAccessoryDamage,20201125,신흥호,0,0,0,어선 신흥호 기관손상사건,34.35,126.1167,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.1167 34.35
FloodingAndSinking,20201125,대불호,0,0,0,모터보트 대불호 침수사건,34.7489,126.3667,floodingAndSinkingType,flooding,126.3667 34.7489
FireAndExplosion,20201126,금수호,0,0,0,어선 경룡호 등 2척 화재사건,34.4333,126.7167,fireAndExplosionType,fire,126.7167 34.4333
FireAndExplosion,20201126,경룡호,0,0,0,어선 경룡호 등 2척 화재사건,34.4333,126.7167,fireAndExplosionType,fire,126.7167 34.4333
HullAndEngineAccessoryDamage,20201125,신한호,0,0,0,예인선 신한호 기관손상사건,35.395,125.9694,hullAndEngineAccessoryDamageType,machineries and propulsion damage,125.9694 35.395
CollisionAndContact,20201101,몽돌바당호,0,0,0,낚시어선 희망호/모터보트 몽돌바당호 충돌사건,33.5589,126.4078,collisionAndContactType,collision,126.4078 33.5589
CollisionAndContact,20201101,희망호,0,0,0,낚시어선 희망호/모터보트 몽돌바당호 충돌사건,33.5589,126.4078,collisionAndContactType,collision,126.4078 33.5589
HullAndEngineAccessoryDamage,20201124,성복호,0,0,0,어선 성복호 기관손상사건,34.2364,126.56,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.56 34.2364
CollisionAndContact,20201123,메리모나크1,0,0,0,기타선 메리모나크1호 양식장 접촉사건,34.2031,126.7978,collisionAndContactType,contact,126.7978 34.2031
HullAndEngineAccessoryDamage,20201123,승리호,0,0,0,어선 승리호 기관손상사건,34.4089,126.6733,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.6733 34.4089
HullAndEngineAccessoryDamage,20201123,5원창호,0,0,0,어선 5원창호 기관손상사건,34.7,126.4333,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4333 34.7
OtherIncident,20201123,2017덕은호,0,0,1,어선 2017덕은호 선원부상사건,33.4167,125.6667,otherIncidentType,safety hinderance and near misses,125.6667 33.4167
HullAndEngineAccessoryDamage,20201122,행복호,0,0,0,낚시어선 행복호 조타장치손상사건,34.1333,127.7667,hullAndEngineAccessoryDamageType,rudder damage,127.7667 34.1333
HullAndEngineAccessoryDamage,20201122,더블호,0,0,0,모터보트 더블호 기관손상사건,34.5617,127.6467,hullAndEngineAccessoryDamageType,machineries and propulsion damage,127.6467 34.5617
FireAndExplosion,20201123,승현호,0,0,0,어선 승현호 화재사건,34.7006,126.3486,fireAndExplosionType,fire,126.3486 34.7006
CollisionAndContact,20201124,해당호,0,0,2,어선 광영호/고무보트 해당호 충돌사건,34.4911,127.15,collisionAndContactType,collision,127.15 34.4911
CollisionAndContact,20201124,광영호,0,0,0,어선 광영호/고무보트 해당호 충돌사건,34.4911,127.15,collisionAndContactType,collision,127.15 34.4911
CollisionAndContact,20201122,한일골드스텔라,0,0,0,여객선 한일골드스텔라 부두접촉사건,33.5244,126.5428,collisionAndContactType,contact,126.5428 33.5244
FloodingAndSinking,20201122,대도호,0,0,0,모터보트 대도호 침수사건,33.2858,126.7511,floodingAndSinkingType,flooding,126.7511 33.2858
HullAndEngineAccessoryDamage,20201122,율로호,0,0,0,모터보트 율로호 기관손상사건,34.62,127.5864,hullAndEngineAccessoryDamageType,machineries and propulsion damage,127.5864 34.62
HullAndEngineAccessoryDamage,20201121,태양호,0,0,0,모터보트 태양호 기관손상사건,34.5192,127.0878,hullAndEngineAccessoryDamageType,machineries and propulsion damage,127.0878 34.5192
StrandingAndGrounding,20201113,제2형성호,0,0,0,어선 제2형성호 좌초사건,33.2275,126.2361,strandingAndGroundingType,grounding,126.2361 33.2275
NavigationalIssues,20201121,행복호,0,0,0,모터보트 행복호 운항저해사건,34.5892,127.7367,navigationalIssuesType,sailing hinderance,127.7367 34.5892
HullAndEngineAccessoryDamage,20201121,한일호,0,0,0,어선 한일호 기관손상사건,34.5817,127.7533,hullAndEngineAccessoryDamageType,machineries and propulsion damage,127.7533 34.5817
CollisionAndContact,20201121,아다지오호,0,0,0,세일링요트 아다지오호 부유물감김사건,34.7,126.2333,collisionAndContactType,floating object entanglement,126.2333 34.7
CollisionAndContact,20201121,청해호,0,0,2,낚시어선 마스터1호/모터보트 청해호 충돌사건,34.3667,126.7403,collisionAndContactType,collision,126.7403 34.3667
CollisionAndContact,20201121,마스터1호,0,0,0,낚시어선 마스터1호/모터보트 청해호 충돌사건,34.3667,126.7403,collisionAndContactType,collision,126.7403 34.3667
CollisionAndContact,20200903,전남705호,0,0,0,"석유제품운반선 제3대양호, 항로표지선 창명1호 등 2척 충돌사건",34.7247,127.7133,collisionAndContactType,collision,127.7133 34.7247
CollisionAndContact,20200903,창명1호,0,0,0,"석유제품운반선 제3대양호, 항로표지선 창명1호 등 2척 충돌사건",34.7247,127.7133,collisionAndContactType,collision,127.7133 34.7247
CollisionAndContact,20200903,제3대양호,0,0,0,"석유제품운반선 제3대양호, 항로표지선 창명1호 등 2척 충돌사건",34.7247,127.7133,collisionAndContactType,collision,127.7133 34.7247
NavigationalIssues,20200917,무등록선박,0,0,0,무등록선박 운항저해사건,34.7206,127.4481,navigationalIssuesType,sailing hinderance,127.4481 34.7206
FloodingAndSinking,20200907,점보호,0,0,0,어선 점보호 전복사건,33.5561,126.7394,floodingAndSinkingType,capsizing,126.7394 33.5561
CollisionAndContact,20200820,제7황금호,0,0,0,"어선 323대경호, 어선 제7황금호 충돌사건",33.4158,126.2581,collisionAndContactType,collision,126.2581 33.4158
CollisionAndContact,20200820,323대경호,0,0,0,"어선 323대경호, 어선 제7황금호 충돌사건",33.4158,126.2581,collisionAndContactType,collision,126.2581 33.4158
CollisionAndContact,20200807,제88화수호,0,0,0,"어선 제16명선호, 어선 제88화수호 충돌사건",33.6333,126.8167,collisionAndContactType,collision,126.8167 33.6333
CollisionAndContact,20200807,제16명성호,0,0,0,"어선 제16명선호, 어선 제88화수호 충돌사건",33.6333,126.8167,collisionAndContactType,collision,126.8167 33.6333
HullAndEngineAccessoryDamage,20201025,무등록선박,0,0,0,무등록선박 기관손상사건,34.6131,126.2781,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.2781 34.6131
HullAndEngineAccessoryDamage,20201016,일조호,0,0,0,어선 일조호 기관손상사건,33.5667,126.6167,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.6167 33.5667
HullAndEngineAccessoryDamage,20200928,제3동해호,0,0,0,어선 제3동해호 기관손상사건,33.5833,126.6167,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.6167 33.5833
CollisionAndContact,20200928,제202광성호,0,0,0,어선 성해호/어선 제202광성호 충돌사건,34.3658,126.1356,collisionAndContactType,collision,126.1356 34.3658
CollisionAndContact,20200928,성해호,0,0,0,어선 성해호/어선 제202광성호 충돌사건,34.3658,126.1356,collisionAndContactType,collision,126.1356 34.3658
StrandingAndGrounding,20200917,현대호,0,0,0,어선 현대호 좌초사건,34.6844,127.7053,strandingAndGroundingType,grounding,127.7053 34.6844
HullAndEngineAccessoryDamage,20200915,대양호,0,0,0,어선 대양호 추진축계손상사건,33.4833,126.3728,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.3728 33.4833
HullAndEngineAccessoryDamage,20200913,제3동해호,0,0,0,어선 제3동해호 기관손상사건,33.6333,126.7167,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.7167 33.6333
HullAndEngineAccessoryDamage,20200911,덕진호,0,0,0,어선 덕진호 기관손상사건,33.55,125.8667,hullAndEngineAccessoryDamageType,machineries and propulsion damage,125.8667 33.55
HullAndEngineAccessoryDamage,20200819,성운호,0,0,0,어선 성운호 조타장치손상사건,33.5944,126.7139,hullAndEngineAccessoryDamageType,rudder damage,126.7139 33.5944
CollisionAndContact,20200814,선재호,0,0,0,어선 선재호 부유물감김사건,33.5667,126.4167,collisionAndContactType,floating object entanglement,126.4167 33.5667
HullAndEngineAccessoryDamage,20200913,골든리치호,0,0,0,낚시어선 골든리치호 기관손상사건,34.5125,127.7189,hullAndEngineAccessoryDamageType,machineries and propulsion damage,127.7189 34.5125
